Дата,Время,НЖТИ,Название,Число1,Число2
26.02.11,10:43,86968,БЛИЦОСИДР,6150,7150
26.02.11,10:35,77310,ХЛЕВОТЮК,0296,7652
26.02.11,09:09,27141,РЫБОЛОВНЫЙ,4490,1101
26.02.11,09:05,06476,АКРОКРЕН,4413,7933
26.02.09,18:52,16492,БАЛАМУТНЫЙ,3137,6818
26.02.09,12:47,57875,НИЩЕНКА,5460,1944
26.02.05,13:06,89037,СУДЬБИНА,5842,7627
26.02.05,11:38,74813,ВЬЮНОПЕНЬ,6819,8855
26.02.04,15:41,19084,ДОЯРОКАЙФ,7828,8610
26.02.02,11:15,27559,МАРКЕТИНГ,3777,9255
26.01.29,16:47,84014,БУЛЬОНЧИК,1853,6582
26.01.29,16:12,27550,ОЧЕРК,1839,7235
26.01.29,15:03,81899,СТАРОВЕРЕЦ,5403,1602
26.01.29,12:07,18887,ДЕРНОЛОРД,6495,6880
26.01.29,11:57,89493,СТОЯК,9477,7037
26.01.28,15:48,54561,СЛАБОСТЬ,8017,8154
26.01.22,14:19,79687,АКТИНИЙ,8999,4216
26.01.22,13:21,05688,СУПРУЖЕСКИЙ,0305,7160
26.01.22,11:21,40641,ВЕНЧИКОВЫЙ,6302,3118
26.01.19,18:50,97281,НООСФЕРА,5176,3559
26.01.16,15:40,45061,ПОЖАРНИК,0573,2683
26.01.15,19:16,25611,БОТВА,0808,2023
26.01.14,19:33,74214,ЛЮЭСОБАУЛ,4858,2138
26.01.12,23:37,18908,РАЕКОРИАЛ,2888,5408
26.01.12,21:48,14559,ОМАРОКАДР,4895,6841
26.01.12,19:23,78367,КОРТОДОНГ,1585,6817
26.01.12,10:37,02403,НУТОШАТО,9317,8248
26.01.05,15:25,87459,ВКРАПЛЕНЬЕ,6790,4701
26.01.01,00:21,81656,ГЛОТАНЬЕ,4259,7212
29.12.25,12:08,18594,ПЕРЕЛАЗ,7934,0510
17.12.25,16:37,32409,ТАТОМАРИ,3995,2030
15.12.25,21:23,67939,БУЗОТЕРКА,3226,4768
15.12.25,18:31,08895,ЛАЗОМИГ,5528,6989
15.12.25,14:40,85000,ЛИНЦОКРИН,1089,3317
15.12.25,13:02,52710,ВХОДОШУНТ,9051,8779
11.12.25,17:38,88269,АУЛЬНЫЙ,0091,5671
11.12.25,16:07,09224,ЖУИРОЗАГС,1745,1643
11.12.25,14:08,91256,БЕРМУДСКИЙ,5964,0140
11.12.25,12:48,82331,ЕРШОВУЗ,1362,0715
,,16573,МЕЛОЧИШКА,8414,7283
,,70671,БАРКОЛУК,0010,7680
,,42977,НЕРВАЦИЯ,2744,4280
,,99247,ЕНОТОБЮСТ,3406,1012
10.12.25,14:37,69674,ГЛАСОДЖУТ,1843,5943
10.12.25,14:34,41651,ПОКАЯННЫЙ,8135,3102
10.12.25,13:49,47534,БЕСПОДОБНЫЙ,2270,0912
10.12.25,13:08,93330,ЗАВОТОСТ,7132,5283
,,76397,МЮОНОСВОД,9835,1886
08.12.25,18:55,22124,АБАЗОМЮЛЬ,1512,8503
08.12.25,14:44,05659,ПАБОДОЛЛ,8170,5968
08.12.25,13:27,49241,ПЕРЕНАЕМ,8730,2048
08.12.25,10:49,95021,ПЕРЕЧНИЦА,9037,2344
04.12.25,15:46,10224,ЖИВОДЕРКА,6373,2890
04.12.25,12:45,44357,ДЕРНОШИИТ,7614,6467
01.12.25,15:48,22119,ОШОХЛЫЩ,9090,2344
01.12.25,13:38,11126,ПОДДЕРЖКА,9689,0875
01.12.25,13:21,27077,УТЮГОНИТ,6373,2890
01.12.25,11:22,36590,ЗООПАРК,1144,6637
27.11.25,20:01,58718,КРИТОЛОСК,6819,8855
27.11.25,14:29,53838,МАТЕМАТИЧКА,7828,8610
27.11.25,13:10,34378,ЛОРДОЧАР,4284,6614
27.11.25,11:22,77461,РАЗГОНИСТЫЙ,3777,9255
24.11.25,18:38,14855,ПЕРСОЛЮКС,1853,6582
23.11.25,15:24,50130,СМОТРЕНЬЕ,1839,7235
20.11.25,20:24,36537,ЛЯРДОТУФ,8926,4497
20.11.25,18:37,97084,ПЛЯЖОКОТ,5403,1602
20.11.25,14:02,66593,ИКСОБОЕВ,6397,2775
20.11.25,12:44,20276,ЛЕЩОХЛЕВ,6495,6880
20.11.25,11:04,75206,KOMMEPCAHT,9477,7037
17.11.25,15:38,82586,НАНТОТЮК,8017,8154
17.11.25,14:40,15854,ЛАТВИЯ,5894,4167
17.11.25,14:35,19392,ПОШЛЫЙ,8999,4216
17.11.25,14:04,05207,БОЛОНСКИЙ,0305,7160
17.11.25,12:43,77858,ЛЕСОЛЕД,6302,3118
17.11.25,12:36,06847,ОЦИНКОВЩИК,5176,3559
17.11.25,11:11,37774,ЖЕРЕБОСТЬ,0573,2683
13.11.25,18:35,38014,СИМОМОР,0808,2023
13.11.25,10:55,19567,РЖАВЛЕНЬЕ,2888,5408
,,76515,АНКЕРНЫЙ,1585,6817
06.11.25,15:54,42404,КРЫМОХРИП,9317,8248
06.11.25,14:35,76447,ПОДСТВОЛЬНЫЙ,4610,2469
06.11.25,13:03,81666,МОЗГОПРАХ,6790,4701
03.11.25,15:36,16366,СУГУБЫЙ,3087,9610
29.10.25,18:38,08193,ТОРМОМОЗГ,4259,7212
27.10.25,14:20,65304,БЛОХОШРИ,7934,0510
27.10.25,12:54,06952,СЕМЕНЬ,3995,2030
,,03245,НЕГРОПОТОП,1089,3317
20.10.25,15:51,07377,ПОСАЖЕНЫЙ,9051,8779
20.10.25,14:33,34948,ДЫРОКОЛ,0091,5671
20.10.25,13:25,33438,ДОНКИХОТ,1745,1643
16.10.25,15:39,32626,АМИЛОСКИФ,1362,0715
16.10.25,14:32,51847,НАРУЧНЫЙ,1512,8503
16.10.25,13:32,69955,РЯДОСПАЙ,8170,5968
,,01085,ИЗМОЖДЕНИЕ,9037,2344
14.10.25,14:37,33768,ФАЙЛОРАЕК,9689,0875
14.10.25,14:13,63300,ТОКОСЪЕМНИК,6373,2890
13.10.25,13:07,72785,ГУЛОБОЛТ,7614,6467
06.10.25,10:58,59400,ОРЕХОБРУС,2456,1459
02.10.25,19:44,05791,ШНАПС,3045,5241
02.10.25,14:30,37255,ЛЕСОВЬЮК,7574,2566
02.10.25,13:15,91753,ТЮБОКЕК,1734,3428
01.10.25,13:15,96793,ЭСЕРОЖБАН,3785,0153
29.09.25,18:48,09813,ДЕННИЦА,7599,7420
29.09.25,14:09,53009,САМУРАЙ,0814,9498
29.09.25,12:54,13509,ТИГРОВАР,2842,1959
29.09.25,11:32,49909,СБРАЖИВАНИЕ,3776,8908
29.09.25,10:31,55849,ВОЗМЕЩЕНИЕ,8597,7049
28.09.25,16:58,98590,БИРЮЧИЙ,3052,9507
28.09.25,15:41,37687,КАПОСОРТ,9838,1865
,,60563,ДЖУТОВРЕД,6032,6012
16.09.25,16:07,10989,ПРЕПАРАТ,9890,7783
16.09.25,13:07,04625,ГЛИССЕР,0049,8715
,,57682,БРАТЕЦ,8197,9997
,,85109,АЛЬМА,2754,8434
11.09.25,12:48,93425,ГОРДОСТИХ,9947,4619
11.09.25,11:02,10379,ЗАМПРЕД,5604,1639
10.09.25,16:40,11866,ИХТИОЗ,3254,4627
08.09.25,20:25,03359,ЛАРЕК,7254,4627
08.09.25,18:53,38965,ОТЕЛЬ,7858,8837
08.09.25,12:30,35654,ДЫМОСКАЛЬП,0834,5860
05.09.25,15:26,52451,ВОЛНОБОБР,3175,5750
01.09.25,19:29,41253,КОККОСИДР,4358,6496
31.08.25,17:30,42117,АННАМИТ,9261,3472
31.08.25,15:51,59428,АФОНОДЕК,5598,3446
,,71930,ВОКЗАЛЬНЫЙ,6698,6657
27.08.25,17:05,67201,НИТРОМОПС,3421,2250
25.08.25,14:25,37931,ПУЛОЛЕД,6990,2692
25.08.25,13:12,61006,НАРДОСАЖ,4520,9365
22.08.25,13:08,98210,АОРТОВЫЙ,0922,7897
21.08.25,17:17,91394,МИКРОТРОН,8771,0680
21.08.25,16:06,45248,НУТОБУЕФ,6979,9692
21.08.25,13:35,79959,АМОРАЛИЗМ,3457,1926
,,93469,ОЛУХОВКА,8753,4946
14.08.25,18:33,03647,СТОКОТОН,2751,2830
14.08.25,13:05,88751,МАРЕЛЬ,5057,6881
13.08.25,15:42,59931,ДОЛГОВЯЗЫЙ,8526,1223
12.08.25,20:04,12687,ТОЛКОСРАМ,9585,4510
11.08.25,20:00,84611,ЛЮКОСПАС,5351,5627
11.08.25,14:11,17028,ДЖИНОЧИЛИ,2499,5166
11.08.25,13:16,38775,РЮШНЫЙ,2152,8370
11.08.25,12:36,79205,КЕРНЕР,8592,8891
11.08.25,12:32,21141,ДРУЖНОСТЬ,8539,0054
11.08.25,11:07,04290,СЧЕСОЛУБ,1905,2257
10.08.25,16:02,16486,ЖЕВАТЕЛЬНЫЙ,8414,9247
07.08.25,12:33,75382,НОСОРОТ,5674,9903
30.07.25,15:51,46509,ПАКТОБИТ,0764,9737
29.07.25,15:48,87512,КАССИРША,8263,6001
,,12625,ПЛЮСОХЛЫЩ,9703,0657
